Episode,Reward,Mean_100,Epsilon
1,-66.18175588368592,-66.18175588368592,0.995
2,-171.67373026912065,-118.92774307640329,0.990025
3,-61.03479943767298,-99.63009519682652,0.985074875
4,-194.73231025866312,-123.40564896228567,0.9801495006250001
5,-342.2228833617206,-167.16909584217265,0.9752487531218751
6,-440.3371516439382,-212.69710514246694,0.9703725093562657
7,-148.20162418519908,-203.48346500571438,0.9655206468094844
8,-256.194331997773,-210.0723233797217,0.960693043575437
9,-99.3991619403553,-197.77530544201431,0.9558895783575597
10,-274.34392069727176,-205.43216696754007,0.9511101304657719
11,-360.10494121175043,-219.49332826246828,0.946354579813443
12,2.4215187441436257,-201.00042434525062,0.9416228069143757
13,-72.36305946858312,-191.10524243166083,0.9369146928798039
14,-224.70838811558835,-193.50546712336993,0.9322301194154049
15,-76.36594223053397,-185.69616546384754,0.9275689688183278
16,-32.78402504980744,-176.13915668797003,0.9229311239742362
17,-110.70712253629044,-172.29021350257713,0.918316468354365
18,-119.89488112678961,-169.37936170392226,0.9137248860125932
19,-425.4768437038658,-182.85817654602454,0.9091562615825302
20,-339.08306323037743,-190.66942088024217,0.9046104802746175
21,-117.98705693757397,-187.20835593059132,0.9000874278732445
22,-169.73802937301008,-186.414250177974,0.8955869907338783
23,-173.40479905500305,-185.84862186827962,0.8911090557802088
24,-330.86409482772484,-191.8909332415898,0.8866535105013078
25,-215.83280552055066,-192.84860813274827,0.8822202429488013
26,-183.91635484411648,-192.50505992933935,0.8778091417340573
27,-143.39829320818689,-190.6862907915189,0.8734200960253871
28,-490.9434458609524,-201.40976061542725,0.8690529955452602
29,-215.0024617056719,-201.87847444612532,0.8647077305675338
30,-347.42910698424896,-206.7301621973961,0.8603841919146962
31,-110.74010414665759,-203.6337087118884,0.8560822709551227
32,-120.32223409108153,-201.0302251299882,0.851801859600347
33,-107.59696067599712,-198.19891408592787,0.8475428503023453
34,-220.9980434492529,-198.86947671426094,0.8433051360508336
35,-73.73200502536378,-195.29412038029247,0.8390886103705794
36,-107.84699326388898,-192.8650335159479,0.8348931673187264
37,-115.1344344711612,-190.76420651473748,0.8307187014821328
38,-273.85666315565936,-192.95085011055122,0.8265651079747222
39,-217.13331333306888,-193.57091327010295,0.8224322824348486
40,-141.6966945806517,-192.27405780286662,0.8183201210226743
41,-121.86635444563977,-190.55679674537328,0.8142285204175609
42,-176.74318958361886,-190.22790133676008,0.810157377815473
43,-114.69194914509733,-188.47125128579117,0.8061065909263957
44,-193.2259857045248,-188.5793134316715,0.8020760579717637
45,-59.67939403879444,-185.71487077849645,0.798065677681905
46,-132.98718353930545,-184.56861670807928,0.7940753492934954
47,-204.07356311726173,-184.98361556784909,0.7901049725470279
48,-78.03465254084986,-182.75551217145332,0.7861544476842928
49,-313.7947996122672,-185.42978334371483,0.7822236754458713
50,-133.14399591176027,-184.38406759507572,0.778312557068642
51,-163.5271595096359,-183.97510861300827,0.7744209942832988
52,-184.4144110256379,-183.9835567363281,0.7705488893118823
53,-108.14303734409297,-182.55260354024819,0.7666961448653229
54,-125.83117576263857,-181.5022067295517,0.7628626641409962
55,-87.92501552659535,-179.8008032531343,0.7590483508202912
56,-174.3671296188469,-179.70377336680772,0.7552531090661897
57,-94.42710063344744,-178.20769138902946,0.7514768435208588
58,-98.7124870782732,-176.83708441815435,0.7477194593032545
59,-99.88515799016419,-175.5328144786969,0.7439808620067382
60,-217.3405235862205,-176.22960963048897,0.7402609576967045
61,12.925226338959675,-173.12871068017014,0.736559652908221
62,-117.50002715354442,-172.23147384909555,0.7328768546436799
63,-137.81805011579655,-171.68522902793205,0.7292124703704616
64,-133.56147569840422,-171.08954538215818,0.7255664080186093
65,-126.44800444386469,-170.40275244464596,0.7219385759785162
66,-192.13391221574975,-170.73201244117783,0.7183288830986236
67,-299.84850950960356,-172.65912433772152,0.7147372386831305
68,-54.784336052821104,-170.92567156882592,0.7111635524897149
69,-139.64884299490922,-170.47238419818945,0.7076077347272662
70,-79.05645928000988,-169.166442413644,0.7040696960536299
71,-71.53431258653302,-167.79134199354385,0.7005493475733617
72,-117.95635505964961,-167.09918939723983,0.697046600835495
73,-107.36570544748845,-166.28092249381857,0.6935613678313175
74,-69.32845167616469,-164.97075396925567,0.6900935609921609
75,-21.503696229871693,-163.0578598660639,0.6866430931872001
76,-107.6677532200406,-162.32904267335306,0.6832098777212641
77,-79.94128743045718,-161.25907182604274,0.6797938283326578
78,-203.56955656268502,-161.80151393805096,0.6763948591909945
79,-121.29111402174672,-161.2887240656927,0.6730128848950395
80,-37.35926907201173,-159.73960587827165,0.6696478204705644
81,-129.7136075875882,-159.36891454134962,0.6662995813682115
82,-53.830322880941964,-158.08185854549097,0.6629680834613705
83,-31.5058765408849,-156.55684671411018,0.6596532430440636
84,11.641671800353876,-154.5544833984618,0.6563549768288433
85,-93.17865653392084,-153.83241484711425,0.653073201944699
86,-97.1987790456459,-153.17388419825997,0.6498078359349755
87,-108.63786649054617,-152.66197594874603,0.6465587967553006
88,-42.06050458691631,-151.4051410469071,0.6433260027715241
89,-62.23354175663501,-150.4032129649939,0.6401093727576664
90,-41.170346470324105,-149.1895144483865,0.6369088258938781
91,-111.4113931390355,-148.77437025817383,0.6337242817644086
92,-77.90075426900165,-148.00400486698717,0.6305556603555866
93,-192.14660361208672,-148.47865646639684,0.6274028820538087
94,-76.38860103168335,-147.71174098304883,0.6242658676435396
95,-108.4660565758245,-147.29862851560435,0.6211445383053219
96,-53.59022544421889,-146.3224993169441,0.6180388156137953
97,-73.64869922497897,-145.5732848830063,0.6149486215357263
98,-190.7247772348195,-146.03401439680033,0.6118738784280476
99,-108.86228806427908,-145.65854241364354,0.6088145090359074
100,-57.814826801962134,-144.7801052575267,0.6057704364907278
101,-164.26589339122233,-145.76094663260207,0.6027415843082742
102,-38.23071361566146,-144.42651646606748,0.5997278763867329
103,-78.96953713597745,-144.60586384305054,0.5967292370047992
104,-57.119270675969354,-143.2297334472236,0.5937455908197752
105,-47.17813064227654,-140.27928592002917,0.5907768628656763
106,-49.62557855009773,-136.37217018909075,0.5878229785513479
107,-125.02869575653793,-136.14044090480414,0.5848838636585911
108,-211.14805195990704,-135.68997810442545,0.5819594443402982
109,-25.165706607846644,-134.94764355110038,0.5790496471185967
110,-132.95491773208187,-133.5337535214485,0.5761543988830038
111,-48.975696456446556,-130.42246107389542,0.5732736268885887
112,-0.9231018167966454,-130.45590727950486,0.5704072587541458
113,-66.1618567408176,-130.3938952522272,0.567555222460375
114,-38.86676669755657,-128.53547903804687,0.5647174463480732
115,-104.44661193170035,-128.81628573505853,0.5618938591163328
116,-46.54999654979853,-128.95394545005843,0.5590843898207511
117,-44.90965991291523,-128.2959708238247,0.5562889678716474
118,-63.33279698408229,-127.73034998239764,0.5535075230322891
119,-179.67158006162543,-125.27229734597523,0.5507399854171277
120,-216.3717653040259,-124.04518436671171,0.547986285490042
121,-65.90147371960474,-123.52432853453203,0.5452463540625918
122,-94.58499763640759,-122.77279821716598,0.5425201222922789
123,-56.02862682852896,-121.59903649490124,0.5398075216808175
124,-71.62020232021142,-119.00659756982611,0.5371084840724134
125,-80.51388115794859,-117.6534083262001,0.5344229416520513
126,-144.02416369986304,-117.25448641475758,0.531750826943791
127,-95.50997351665306,-116.77560321784223,0.5290920728090721
128,42.58258838251197,-111.44034287540758,0.5264466124450268
129,-14.16697903362963,-109.43198804868715,0.5238143793828016
130,-40.32704528961135,-106.36096743174078,0.5211953074858876
131,-161.68155191568513,-106.87038190943105,0.5185893309484582
132,-130.52422971436118,-106.97240186566383,0.5159963842937159
133,-18.786727903747092,-106.08429953794135,0.5134164023722473
134,-17.721355473443452,-104.05153265818322,0.510849320360386
135,-125.74863778792292,-104.57169898580884,0.5082950737585841
136,-17.941176022391616,-103.67264081339387,0.5057535983897912
137,-2.7519935913113898,-102.54881640459539,0.5032248303978422
138,-41.812231900986575,-100.22837209204864,0.500708706245853
139,-115.52154926999062,-99.21225445141786,0.4982051627146237
140,-32.65207921313494,-98.12180829774269,0.49571413690105054
141,-281.00219327147954,-99.71316668600107,0.4932355662165453
