Episode,Reward,Steps
1,296.89820312296933,210
2,321.8963874941652,244
3,294.25383455301466,187
4,255.9831024285611,179
5,262.41081473326597,174
6,279.97485712260624,175
7,286.67251325228733,183
8,283.6913539411794,201
9,280.2356028174897,168
10,261.90765085938216,203
11,255.169784822651,170
12,294.2781809383687,193
13,286.45925824221763,179
14,291.8386829297059,205
15,273.94913215319457,198
16,288.6340205695618,202
17,288.7344692329953,203
18,271.45098839601053,175
19,258.7049369685171,157
20,287.3287223860298,209
21,277.45172087692356,153
22,269.4528673358518,175
23,262.5155117780759,175
24,284.88015211663503,178
25,271.1197914634505,189
26,281.71375983674653,159
27,301.86189905366143,160
28,293.76979100843494,232
29,79.5458488420723,175
30,265.7010030134247,162
31,291.53714449737674,191
32,248.87455711986684,178
33,267.37663798435256,190
34,255.63827493941295,160
35,247.1858566897924,156
36,266.23755761833525,180
37,295.1069549222427,175
38,281.6017585278822,192
39,298.15923981532853,177
40,290.1648415303031,174
41,272.05793935732675,197
42,275.53161803599266,177
43,143.90236444306362,1000
44,272.6086708405501,182
45,314.0601446495469,216
46,255.76479687228579,177
47,263.44458665803256,174
48,295.56573251294213,202
49,285.81075770386076,186
50,249.19112686084725,166
51,266.2096708273648,175
52,255.1576887281266,159
53,293.50186637218064,174
54,260.50678801266974,165
55,299.7777704606367,200
56,280.2150450826225,184
57,266.56913501976294,160
58,299.8075715611911,190
59,296.63816118943294,164
60,264.3056052348279,153
61,282.89361005324747,194
62,263.2878866693512,178
63,311.47837685131617,191
64,279.39346203377806,196
65,269.95590548033204,161
66,276.5702276176248,181
67,284.69045112117533,186
68,268.6050451511417,183
69,302.1763471902624,246
70,296.9454703436001,198
71,292.9367093810859,175
72,288.27737116732357,207
73,315.7737944123395,205
74,306.58795139370636,215
75,297.92367659817853,236
76,281.7983696481965,162
77,262.7810551677103,168
78,258.4389520388439,155
79,276.426883193767,180
80,246.1270533585198,163
81,266.0860187179185,174
82,272.4628229891548,168
83,307.4769053850175,179
84,275.22346869549983,150
85,289.19835470275524,198
86,242.80610475905303,170
87,318.7326808628727,248
88,264.82386276403076,176
89,269.1582119369158,190
90,266.2953502756552,164
91,295.3092625603377,192
92,279.4176759019416,154
93,283.03673352402063,192
94,281.9711523725241,216
95,265.18600324493366,187
96,27.073269921344647,125
97,255.726504295186,157
98,281.6582444213166,142
99,318.33699932694753,265
100,292.7389959656821,176
