Episode,Reward,Steps
1,283.52754175409217,174
2,283.6230331102962,164
3,287.59416537566585,185
4,279.15582713985253,178
5,299.43680671729317,190
6,295.23775485908345,222
7,307.2256554911743,192
8,257.7827843814414,176
9,291.1372770171507,220
10,283.1609498976817,203
11,268.1014846080525,197
12,294.4577086381651,211
13,282.1474420186283,164
14,283.936522690615,217
15,302.42518626435714,205
16,281.0813191760166,191
17,244.87661339222143,731
18,271.3627233962445,177
19,288.43302838752334,220
20,284.715564330382,185
21,298.514110210839,216
22,304.34255312933635,175
23,290.0459552650201,225
24,281.90913560464253,213
25,266.4296825640827,162
26,259.06821029179105,167
27,283.70009143746324,192
28,273.8576299606009,200
29,284.36503045748475,201
30,269.00676148690445,169
31,261.7754227648311,177
32,288.16842214770236,189
33,277.1204473816085,225
34,267.03359439881615,184
35,306.4126344586221,207
36,269.4786392790536,192
37,308.6639682420856,195
38,279.2433868110162,186
39,246.7438507647807,170
40,252.80864623730878,204
41,303.99746457612196,220
42,274.26794635992394,185
43,292.94057569494464,188
44,296.5217655755854,226
45,300.8718552913376,203
46,318.3971237977606,188
47,290.08410049784777,220
48,267.32120620634964,179
49,284.24030540829216,201
50,242.03225338153595,164
51,273.976078468198,199
52,299.1863718275397,190
53,295.50430433248414,216
54,296.47723524188314,179
55,294.45396718321524,221
56,292.75374192587145,174
57,272.4259557046549,171
58,263.27773207598995,174
59,298.0127400433895,214
60,265.56298921831007,152
61,269.9954249793808,191
62,278.4261026756021,172
63,275.7890713650885,230
64,271.7195933845386,194
65,246.38796590775698,160
66,251.01926205857757,160
67,287.2139973474539,201
68,309.85814466063425,190
69,299.6990691476206,220
70,270.1535093140449,166
71,278.9183984524777,155
72,283.6853381709076,170
73,298.4224824974221,178
74,275.6251767846795,194
75,311.5754212301458,231
76,287.77862709964364,172
77,254.4678860111376,159
78,304.26323666030504,227
79,255.1687349382375,189
80,296.8344106002245,244
81,287.09186844471856,196
82,306.2622808425598,194
83,279.03334017363613,216
84,294.7262046673384,193
85,166.90399519083684,1000
86,259.39447141517354,171
87,267.03230223784334,156
88,303.0233321029841,179
89,289.43677475328917,206
90,285.8948259456382,227
91,278.22167641593967,194
92,304.29440534048666,210
93,277.16661209700385,189
94,302.617966577528,177
95,277.0551203079603,210
96,273.9440038813129,196
97,311.561631944976,195
98,281.67575863255684,194
99,293.03776405458075,217
100,282.5158493182689,205
