Episode,Reward,Mean_100,Epsilon
1,-99.46185055987243,-99.46185055987243,0.995
2,-49.70464869563848,-74.58324962775546,0.990025
3,-125.03896838202922,-91.40182254584671,0.985074875
4,-78.04226527769532,-88.06193322880887,0.9801495006250001
5,-233.44281104910215,-117.13810879286753,0.9752487531218751
6,-96.73676389130465,-113.73788464260706,0.9703725093562657
7,-241.9490472913544,-132.05376502099952,0.9655206468094844
8,-311.81915411979855,-154.5244386583494,0.960693043575437
9,-252.09689168743893,-165.36582232824824,0.9558895783575597
10,-52.3978982558804,-154.06902992101146,0.9511101304657719
11,-115.56829608809538,-150.56896320892818,0.946354579813443
12,-169.53915951567257,-152.14981290115688,0.9416228069143757
13,-154.52327289018797,-152.33238674646694,0.9369146928798039
14,-183.22697609067285,-154.53914312819595,0.9322301194154049
15,-519.8034712903213,-178.8900983390043,0.9275689688183278
16,-107.19005062655711,-174.40884535697637,0.9229311239742362
17,-134.86522331995195,-172.08274994303375,0.918316468354365
18,-175.7896764490016,-172.2886903044764,0.9137248860125932
19,-67.51169160336777,-166.77411142547066,0.9091562615825302
20,-96.43951526378959,-163.2573816173866,0.9046104802746175
21,-73.01428488077505,-158.96009129659558,0.9000874278732445
22,-99.0982848007192,-156.23910009223758,0.8955869907338783
23,-155.10687292024397,-156.18987282389003,0.8911090557802088
24,-193.2941887524204,-157.7358859875788,0.8866535105013078
25,-158.34119078664148,-157.7600981795413,0.8822202429488013
26,-84.95201547841208,-154.95978730642096,0.8778091417340573
27,-212.15738391330814,-157.07821681037973,0.8734200960253871
28,-291.37530917345407,-161.8745415376324,0.8690529955452602
29,-66.25377202341741,-158.57727362334913,0.8647077305675338
30,-89.01541999660046,-156.25854516912418,0.8603841919146962
31,-204.17624670241543,-157.8042774766497,0.8560822709551227
32,-269.0708214583931,-161.28135697607917,0.851801859600347
33,-113.98258902370539,-159.84806097752238,0.8475428503023453
34,-94.85510405535793,-157.93650342098812,0.8433051360508336
35,-226.34707382611643,-159.89109114684894,0.8390886103705794
36,-103.0670631396765,-158.31264592442747,0.8348931673187264
